"Timestamp","Agreement to Participate","Do you know what a phishing attack is?","If you answered ""Yes"" to the previous question, please provide a brief description of what a phishing attack is.","Do you know what two-factor authentication is?","If you answered ""Yes"" to the previous question, please provide a brief description of what two-factor authentication is.","Is it secure to sign on to this page?","Is it secure to sign on to this page?","Is it secure to sign on to this page?","Is it secure to sign on to this page?","If Wesleyan were to switch to two-factor authentication, you would be required to not only enter your username and password, but also provide a code given to you from an email, text or app in order to log in to Wesleyan services. Based on this description, would you be in favor of Wesleyan switching to two-factor authentication for its login services?","On a scale from 1-10, how important is cyber security to you? ","On a scale from 1-10, how often do you think about cyber security?","On a scale from 1-10, how frightened are you of being the victim of a cyber attack?","Have you been a victim of a cyber attack?"
"2020/04/22 9:31:19 AM MDT","Yes","Yes","Email most often appearing to come from trusted source but which does not and most often tries to have the user click on a link that leads to infection of computer. ","Yes","In order to authenticate oneself to a website you must provide a password and some other information most often in the form of a number texted to your phone but not always. ""something you know (password) and something you have (phone)""","No","Yes","No","No","No","9","5","9","No"
"2020/04/22 10:19:26 AM MDT","Yes","Yes","Phishing is an attempt to obtain personal or sensitive info, i.e passwords, usernames, credit card info, SSN, etc. by posing as an official/reliable site.","Yes","To log into a site, a user has to log in using two methods, i.e filling in a username/password combo and entering a code received by SMS.","No","Yes","No","No","No","7","3","7","No"
"2020/04/22 10:21:29 AM MDT","Yes","No","","Yes","It’s when you need to use two devices or accounts to log into an account. ","Yes","No","No","Yes","No","4","5","4","No"
"2020/04/22 10:54:14 AM MDT","Yes","Yes","A hacker takes a popular site, copies the HTML/CSS to make a duplicate of it and adds a script to the user input field such as email and passwords so that they are sent to a server which they have access to. They can then easily find the email and password.","Yes","Another layer of protection for logging in to a service weather thats via message code or phone call.","No","No","No","No","No","7","8","10","Yes"
"2020/04/22 11:11:34 AM MDT","Yes","No","","Yes","A keychain consists of two user info ","Yes","Yes","Yes","Yes","Yes","9","4","7","Yes"
"2020/04/22 1:30:45 PM MDT","Yes","No","","Yes","when you gotta prove that you're yourself twice","Yes","Yes","No","No","No","3","7","2","No"
"2020/04/22 1:41:00 PM MDT","Yes","Yes","An attempt to get someone to share PII, passwords, or other sensitive information with an otherwise unauthorized party.","Yes","A second layer of authentication required for logging in to (usually) a web service. Usually consists of a temporary 4-8 digit code provided via text, email, phone, or an app capable of generating these codes on the fly.","No","Yes","Yes","No","Yes","10","9","6","Yes"
"2020/04/22 2:04:05 PM MDT","Yes","Yes","Typically an e-mail that directs the user to visit a supposedly-trusted website and log in, but the website is controlled by the attacker, who harvests the login credentials.","Yes","An authentication mechanism that requires at least two forms of credential, typically defined as something the user knows (e.g., password) and something the user has (e.g., a cell phone).","No","","No","Yes","No","10","8","5","No"
"2020/04/22 9:33:48 PM MDT","Yes","Yes","An attack consisting of pretending to be some company in order to trick someone into giving up their password or other info.","Yes","Requiring a second point of confirmation to authenticate the login of an account.","No","Yes","No","No","Yes","8","4","6","Yes"
"2020/04/23 8:31:37 AM MDT","Yes","Yes","People who pretend to be something or someone theyre not.  Example: A fake website pretending be the real website asking you to login for X reason.","Yes","Login to your user.  Then a code is sent to your phone that you have to enter in usually when you login to an account on a new computer.  This is one type of two-factor authentifcation","No","No","Yes","Yes","No","10","9","5","No"
"2020/04/27 5:54:28 PM MDT","Yes","Yes","An attempt to get information from an individual by trying to pretend to be a trusted source that the individual would interact with, such as bank statement that would require the user to log in. If the attacker were to send that email, then they would be able to get that information from the individual through its disguise.","Yes","Two-factor authentication is when you have multiple measures of protection of your account since it requires you to provide more than one piece of information, such as a password and a code that was texted to you.","No","Yes","Yes","Yes","Yes","10","7","9","Yes"
